City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Gaurnadi,BD,22.9667,90.2333,81.05,91,100,5.5,overcast clouds
80,Moosomin,CA,50.1333,-101.6677,73.18,49,6,15.05,clear sky
81,Shimoda,JP,34.6667,138.95,75.11,87,13,7.02,few clouds
82,Aklavik,CA,68.2191,-135.0107,64.4,68,75,6.91,broken clouds
83,Gravdal,NO,68.1214,13.5031,53.49,100,75,13.8,broken clouds
84,Todos Santos Cuchumatan,GT,15.5167,-91.6167,71.42,47,99,3.69,overcast clouds
85,Fort Nelson,CA,58.8053,-122.7002,62.19,48,75,12.66,broken clouds
86,Oromocto,CA,45.8351,-66.4792,87.31,63,75,13.8,broken clouds
87,Porto Velho,BR,-8.7619,-63.9039,93.25,33,40,4.61,scattered clouds
88,Trincomalee,LK,8.5711,81.2335,78.98,86,92,9.98,overcast clouds
89,Lamu,KE,-2.2717,40.902,75.42,82,1,18.97,light rain
90,Qiongshan,CN,20.0058,110.3542,78.78,94,0,6.71,clear sky
91,Shihezi,CN,44.3,86.0333,75.79,24,0,5.21,clear sky
92,Marawi,PH,7.9986,124.2928,68.38,93,100,2.53,overcast clouds
93,Sakakah,SA,29.9697,40.2064,98.17,15,0,17.76,clear sky
94,Kachiry,KZ,53.0675,76.1036,65.46,64,13,11.92,few clouds
95,Hithadhoo,MV,-0.6,73.0833,80.74,72,100,4.63,light rain
96,Koungheul,SN,13.9833,-14.8,85.15,69,100,4.07,moderate rain
97,Hamilton,US,39.1834,-84.5333,90.77,50,40,13.8,scattered clouds
98,Zeya,RU,53.75,127.2667,63.32,80,100,3.38,overcast clouds
99,Narsaq,GL,60.9167,-46.05,64.62,72,11,9.93,few clouds
100,Saldanha,ZA,-33.0117,17.9442,48.25,75,93,8.86,overcast clouds
101,Flinders,AU,-34.5833,150.8552,58.37,83,100,5.01,light rain
102,Georgetown,MY,5.4112,100.3354,83.89,89,20,0.0,few clouds
103,Merauke,ID,-8.4667,140.3333,75.2,87,24,7.85,few clouds
104,Torrelavega,ES,43.3494,-4.0479,74.64,87,59,4.0,broken clouds
105,Campoverde,PE,-8.4753,-74.8058,89.29,39,91,0.65,overcast clouds
106,Oktyabrskoye,RU,43.0645,44.7417,66.34,88,100,4.47,overcast clouds
107,Cabo San Lucas,MX,22.8909,-109.9124,100.62,43,0,8.05,clear sky
108,Tiksi,RU,71.6872,128.8694,40.91,84,84,11.5,broken clouds
109,Burgos,ES,42.3394,-3.7079,84.61,30,0,10.36,clear sky
110,Port Alfred,ZA,-33.5906,26.891,58.21,70,0,0.78,clear sky
111,Bolkhov,RU,53.4433,36.0044,57.31,93,11,11.32,few clouds
112,Barrow,US,71.2906,-156.7887,44.62,81,0,25.32,clear sky
113,Rawson,AR,-43.3002,-65.1023,48.61,42,100,21.32,overcast clouds
114,Doha,QA,25.2867,51.5333,93.18,79,0,8.05,clear sky
115,Pisco,PE,-13.7,-76.2167,66.02,72,20,8.05,smoke
116,Auburn,US,47.3073,-122.2284,81.68,60,49,1.01,scattered clouds
117,Ibi,ES,38.6253,-0.5723,78.35,69,0,3.24,clear sky
118,Komsomolskiy,UZ,40.4272,71.7189,83.12,36,0,9.22,clear sky
119,Malim,PH,7.452,123.4312,80.06,81,100,4.36,overcast clouds
120,Tarakan,ID,3.3,117.6333,76.5,94,20,6.91,few clouds
121,Qaqortoq,GL,60.7167,-46.0333,50.92,78,9,6.29,clear sky
122,Aswan,EG,24.0934,32.907,96.1,12,0,10.36,clear sky
123,Ancud,CL,-41.8697,-73.8203,41.23,87,100,11.99,light rain
124,La Union,PE,-5.4,-80.75,78.58,44,48,14.18,scattered clouds
125,Longyearbyen,SJ,78.2186,15.6401,51.64,82,75,9.22,broken clouds
126,Blumenau,BR,-26.9194,-49.0661,74.43,76,12,2.51,light rain
127,Nadym,RU,65.5333,72.5167,47.3,69,100,5.03,overcast clouds
128,Trairi,BR,-3.2778,-39.2689,80.28,75,85,11.25,overcast clouds
129,Nuevo San Juan Parangaricutiro,MX,19.4,-102.1333,71.78,78,75,11.5,broken clouds
130,Namibe,AO,-15.1961,12.1522,63.7,87,47,2.39,scattered clouds
131,Vardo,NO,70.3705,31.1107,57.18,88,0,5.75,clear sky
132,Tubmanburg,LR,6.8708,-10.8172,74.26,85,100,5.73,overcast clouds
133,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,8.05,overcast clouds
134,Ustka,PL,54.5805,16.8619,69.66,81,100,4.09,overcast clouds
135,Bethel,US,41.3712,-73.414,95.85,72,0,13.8,clear sky
136,Mar Del Plata,AR,-38.0023,-57.5575,55.42,56,0,14.0,clear sky
137,Morros,BR,-9.4467,-46.3003,90.79,22,1,7.96,clear sky
138,Nanortalik,GL,60.1432,-45.2371,51.24,74,2,14.23,clear sky
139,Manali,IN,13.1667,80.2667,81.07,88,87,8.41,overcast clouds
140,Saskylakh,RU,71.9167,114.0833,46.83,78,100,8.37,overcast clouds
141,Brae,GB,60.3964,-1.353,52.32,80,10,11.9,clear sky
142,Vitim,RU,59.4511,112.5578,61.21,83,100,2.33,overcast clouds
143,Volga,RU,57.9516,38.3879,58.33,86,0,6.08,clear sky
144,Airai,TL,-8.9266,125.4092,54.75,93,98,3.2,overcast clouds
145,Nizhniy Odes,RU,63.6445,54.856,60.15,66,19,3.58,few clouds
146,Codrington,AU,-38.2667,141.9667,48.04,82,85,13.11,overcast clouds
147,Baker City,US,44.7749,-117.8344,87.51,29,0,5.75,clear sky
148,Huatusco,MX,19.15,-96.95,81.23,42,34,6.73,scattered clouds
149,Chuy,UY,-33.6971,-53.4616,57.33,85,98,7.58,overcast clouds
150,Butia,BR,-30.1197,-51.9622,73.72,83,100,3.13,overcast clouds
151,Iracoubo,GF,5.4802,-53.2011,82.27,74,15,8.75,few clouds
152,Ribeira Grande,PT,38.5167,-28.7,75.6,83,20,9.22,few clouds
153,Saint-Pierre,RE,-21.3393,55.4781,65.88,74,75,5.75,broken clouds
154,Russell,US,32.3502,-85.1999,94.28,70,20,3.44,few clouds
155,Victoria,HK,22.2855,114.1577,85.32,79,0,3.0,clear sky
156,Shache,CN,38.4167,77.2406,82.09,14,0,6.6,clear sky
157,Channapatna,IN,12.65,77.2167,74.61,82,98,5.08,overcast clouds
158,Yerbogachen,RU,61.2767,108.0108,59.77,76,100,2.84,overcast clouds
159,Fort Saint James,CA,54.4333,-124.25,74.23,29,83,7.4,broken clouds
160,Kelo,TD,9.3086,15.8066,76.26,81,70,3.24,broken clouds
161,Bluff,NZ,-46.6,168.3333,44.82,85,80,10.22,broken clouds
162,Yoichi,JP,43.2039,140.7703,65.77,86,22,4.14,few clouds
163,Chifeng,CN,42.2683,118.9636,67.62,77,0,2.68,clear sky
164,Portland,US,45.5234,-122.6762,81.95,58,20,5.75,few clouds
165,Urumqi,CN,43.801,87.6005,74.35,29,0,8.95,clear sky
166,Marfino,RU,55.7028,37.3822,62.74,80,0,11.18,clear sky
167,Tuatapere,NZ,-46.1333,167.6833,43.75,90,99,1.48,overcast clouds
168,Saint George,US,37.1041,-113.5841,108.79,14,0,5.75,clear sky
169,Mahebourg,MU,-20.4081,57.7,70.09,83,40,16.11,scattered clouds
170,Biak,ID,-0.9131,122.8766,74.95,88,25,6.62,scattered clouds
171,Egvekinot,RU,66.3167,-179.1667,40.41,57,93,11.39,overcast clouds
172,Poso,ID,-1.3959,120.7524,75.6,89,46,6.62,scattered clouds
173,Korla,CN,41.7597,86.1469,77.04,31,0,2.37,clear sky
174,Esna,EG,25.2934,32.554,93.22,16,2,12.97,clear sky
175,Lorengau,PG,-2.0226,147.2712,80.91,77,95,8.19,overcast clouds
176,Hay River,CA,60.8156,-115.7999,64.38,55,40,13.8,scattered clouds
177,Gazanjyk,TM,39.2446,55.5154,83.44,58,0,9.17,clear sky
178,Linhares,BR,-19.3911,-40.0722,72.73,76,68,6.15,broken clouds
179,Nikolskoye,RU,59.7035,30.7861,69.69,81,0,2.68,clear sky
180,Bemidji,US,47.4736,-94.8803,80.06,45,75,13.8,broken clouds
181,Grindavik,IS,63.8424,-22.4338,55.35,93,100,9.22,overcast clouds
182,Lucapa,AO,-8.4192,20.7447,77.2,35,75,4.54,broken clouds
183,Mpanda,TZ,-6.3655,31.0409,68.88,46,51,2.37,broken clouds
184,Bonfim,BR,3.0833,-59.95,85.66,65,98,5.73,overcast clouds
185,Payyannur,IN,12.1,75.2,77.63,89,85,7.94,moderate rain
186,Tirumullaivasal,IN,11.2333,79.8333,82.35,76,80,11.14,broken clouds
187,Provideniya,RU,64.3833,-173.3,42.24,69,98,10.42,overcast clouds
188,Zhukovo,RU,55.0318,36.744,59.09,81,85,9.17,overcast clouds
189,Sitka,US,57.0531,-135.33,55.29,88,100,0.0,overcast clouds
190,Bilibino,RU,68.0546,166.4372,41.74,67,96,2.82,overcast clouds
191,Taitung,TW,22.7583,121.1444,81.66,70,5,4.23,clear sky
192,Okha,RU,53.5739,142.9478,54.55,93,100,11.03,overcast clouds
193,Rincon,US,32.296,-81.2354,90.95,41,73,9.55,broken clouds
194,Escarcega,MX,18.6089,-90.7454,102.49,23,10,4.74,clear sky
195,Yumen,CN,40.2833,97.2,68.32,25,0,8.68,clear sky
196,Cidreira,BR,-30.1811,-50.2056,63.75,89,100,5.57,overcast clouds
