City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vaini,TO,2022-07-20 20:24:04,-21.2,-175.2,73.56,88,20,8.05
68,Kot Addu,PK,2022-07-20 20:26:34,30.4692,70.9671,97.81,45,6,19.01
69,Hilo,US,2022-07-20 20:22:50,19.7297,-155.09,83.28,90,100,6.91
70,Cayenne,GF,2022-07-20 20:26:35,4.9333,-52.3333,86.04,1,40,11.5
71,Pisco,PE,2022-07-20 20:26:36,-13.7,-76.2167,61.02,88,100,6.91
72,San Ramon,US,2022-07-20 20:26:36,37.7799,-121.978,92.95,41,0,9.22
73,Znamenskoye,RU,2022-07-20 20:26:37,57.1281,73.8282,60.4,99,100,3.4
74,Hami,CN,2022-07-20 20:23:06,42.8,93.45,64.4,60,6,2.17
75,Cape Town,ZA,2022-07-20 20:26:38,-33.9258,18.4232,53.11,65,0,3.44
76,Butaritari,KI,2022-07-20 20:22:48,3.0707,172.7902,81.28,79,45,9.66
77,La Ronge,CA,2022-07-20 20:26:38,55.1001,-105.2842,70.05,43,75,20.71
78,Krasnovishersk,RU,2022-07-20 20:26:39,60.4078,57.082,55.2,95,71,2.15
79,Americus,US,2022-07-20 20:26:39,32.0724,-84.2327,95.13,43,40,8.05
80,Khatanga,RU,2022-07-20 20:26:40,71.9667,102.5,45.64,65,100,21.32
81,Ruidoso,US,2022-07-20 20:26:40,33.3317,-105.673,92.97,22,0,10.36
82,Kjollefjord,NO,2022-07-20 20:26:41,70.9457,27.3465,53.42,94,0,0.0
83,Malanje,AO,2022-07-20 20:25:37,-9.5402,16.341,70.83,32,7,0.94
84,Rubiera,IT,2022-07-20 20:26:41,44.6541,10.7787,89.49,42,0,7.27
85,Half Moon Bay,US,2022-07-20 20:26:42,37.4636,-122.4286,81.88,66,0,18.41
86,Bathsheba,BB,2022-07-20 20:26:42,13.2167,-59.5167,86.61,94,40,17.27
87,Alofi,NU,2022-07-20 20:26:43,-19.0595,-169.9187,75.09,78,75,11.5
88,Souillac,MU,2022-07-20 20:24:25,-20.5167,57.5167,68.38,73,75,12.66
89,San Andres,CO,2022-07-20 20:26:43,12.5847,-81.7006,86.02,70,75,13.8
90,Xingyi,CN,2022-07-20 20:26:44,24.1877,102.817,61.56,97,100,2.08
91,Prieska,ZA,2022-07-20 20:26:44,-29.6641,22.7474,56.8,45,3,7.07
92,Yar-Sale,RU,2022-07-20 20:27:45,66.8333,70.8333,50.99,76,4,11.05
93,Puerto Ayora,EC,2022-07-20 20:27:45,-0.7393,-90.3518,80.56,98,88,7.0
94,Mar Del Plata,AR,2022-07-20 20:25:59,-38.0023,-57.5575,63.95,53,0,16.11
95,Bethel,US,2022-07-20 20:27:46,41.3712,-73.414,97.63,50,20,8.05
96,Kaitangata,NZ,2022-07-20 20:27:46,-46.2817,169.8464,40.91,83,100,6.42
97,Saskylakh,RU,2022-07-20 20:27:47,71.9167,114.0833,38.19,85,60,12.64
98,Yellowknife,CA,2022-07-20 20:24:05,62.456,-114.3525,66.72,52,75,16.11
99,Dwarka,IN,2022-07-20 20:27:48,22.2394,68.9678,81.86,83,99,17.05
100,Mount Gambier,AU,2022-07-20 20:23:03,-37.8333,140.7667,38.68,86,1,5.44
101,Cabo San Lucas,MX,2022-07-20 20:27:48,22.8909,-109.9124,97.61,49,20,11.5
102,Port Alfred,ZA,2022-07-20 20:27:49,-33.5906,26.891,56.17,97,100,1.01
103,Airai,TL,2022-07-20 20:27:49,-8.9266,125.4092,56.7,94,84,3.53
104,Kuala Terengganu,MY,2022-07-20 20:27:50,5.3302,103.1408,78.75,94,40,2.3
105,Zhigansk,RU,2022-07-20 20:27:50,66.7697,123.3711,48.74,69,99,15.88
106,Port Macquarie,AU,2022-07-20 20:27:51,-31.4333,152.9167,53.49,94,75,3.44
107,Ribeira Grande,PT,2022-07-20 20:27:51,38.5167,-28.7,75.6,78,20,8.05
108,Chokurdakh,RU,2022-07-20 20:24:15,70.6333,147.9167,42.4,74,83,8.88
109,Rincon,US,2022-07-20 20:27:52,32.296,-81.2354,98.26,34,44,8.37
110,Grand Gaube,MU,2022-07-20 20:27:53,-20.0064,57.6608,68.4,74,96,13.0
111,Avera,US,2022-07-20 20:27:53,33.194,-82.5271,90.37,56,99,7.09
112,Berdigestyakh,RU,2022-07-20 20:27:54,62.0989,126.6992,64.76,99,100,3.58
113,Auki,SB,2022-07-20 20:27:54,-8.7676,160.7034,75.9,88,100,4.05
114,Tasiilaq,GL,2022-07-20 20:27:55,65.6145,-37.6368,44.76,81,43,0.63
115,Fairbanks,US,2022-07-20 20:26:48,64.8378,-147.7164,64.09,64,75,9.22
116,Qaqortoq,GL,2022-07-20 20:27:55,60.7167,-46.0333,53.64,79,82,3.58
117,Saint George,US,2022-07-20 20:25:37,37.1041,-113.5841,107.44,16,0,8.99
118,Murovani Kurylivtsi,UA,2022-07-20 20:27:56,48.7235,27.5189,69.39,66,4,13.2
119,Samarai,PG,2022-07-20 20:27:57,-10.6167,150.6667,79.9,81,20,9.71
120,Pangnirtung,CA,2022-07-20 20:27:57,66.1451,-65.7125,50.0,81,100,8.05
121,Catamarca,AR,2022-07-20 20:27:57,-28.4696,-65.7852,72.19,30,86,4.05
