City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
86,Cap Malheureux,-19.9842,57.6142,65.46,75,89,7.0,overcast clouds
87,Medvedevo,56.6339,47.804,51.55,91,71,3.98,broken clouds
88,Taltal,-25.4,-70.4833,57.36,88,100,1.68,overcast clouds
89,Rawson,-43.3002,-65.1023,43.47,42,0,27.47,clear sky
90,Batemans Bay,-35.7167,150.1833,54.1,79,100,2.37,light rain
91,Nouadhibou,20.931,-17.0347,69.78,94,20,5.75,few clouds
92,Grindavik,63.8424,-22.4338,49.95,93,75,10.36,broken clouds
93,Rensvik,63.1,7.8167,55.06,94,100,9.22,drizzle
94,Cape Town,-33.9258,18.4232,56.37,77,0,5.75,clear sky
95,Isiro,2.7739,27.616,65.19,97,86,2.15,overcast clouds
96,Kauhajoki,62.4333,22.1833,52.77,82,34,5.26,scattered clouds
97,Khatassy,61.9036,129.6383,78.78,68,77,7.83,light rain
98,Caravelas,-17.7125,-39.2481,70.88,79,0,6.24,clear sky
99,Esperance,-33.8667,121.9,56.26,78,100,19.24,light rain
100,Tuktoyaktuk,69.4541,-133.0374,51.8,87,75,9.22,broken clouds
101,Tequila,20.8833,-103.8333,79.0,64,4,6.26,clear sky
102,Schenectady,42.8334,-74.0829,84.83,69,0,11.5,clear sky
103,Avarua,-21.2078,-159.775,71.65,78,75,16.11,light rain
104,Krasnoselkup,65.7,82.4667,54.82,74,96,1.28,overcast clouds
105,Kochevo,59.5994,54.3125,51.73,97,54,3.89,broken clouds
106,Hasaki,35.7333,140.8333,86.4,76,100,7.43,overcast clouds
107,Greymouth,-42.4667,171.2,51.57,64,51,6.91,broken clouds
108,Guatire,10.4762,-66.5427,71.65,98,46,2.39,scattered clouds
109,Amli,20.2833,73.0167,76.12,93,100,4.94,light rain
110,Mareeba,-17.0,145.4333,76.48,70,87,0.94,overcast clouds
111,Milos,36.75,24.4333,73.78,69,0,23.02,clear sky
112,Big Rapids,43.6981,-85.4837,75.09,76,100,8.05,overcast clouds
113,Maniitsoq,65.4167,-52.9,46.63,93,100,20.49,light rain
114,Bathsheba,13.2167,-59.5167,81.21,95,40,16.11,scattered clouds
115,Hilo,19.7297,-155.09,84.27,80,41,5.99,scattered clouds
116,Yellowknife,62.456,-114.3525,68.52,40,75,10.36,broken clouds
117,Saint-Philippe,-21.3585,55.7679,67.59,78,47,14.88,scattered clouds
118,Arlit,18.7369,7.3853,90.23,31,54,7.72,broken clouds
119,Pierre,44.3683,-100.351,92.32,35,0,17.27,clear sky
120,Norsup,-16.0667,167.3833,82.74,75,7,17.96,clear sky
121,San Quintin,30.4833,-115.95,72.95,70,2,13.42,clear sky
122,Kapaa,22.0752,-159.319,87.78,69,40,17.27,scattered clouds
123,Los Llanos De Aridane,28.6585,-17.9182,67.75,83,7,17.27,clear sky
124,Pisco,-13.7,-76.2167,60.85,82,100,6.91,overcast clouds
125,Kodiak,57.79,-152.4072,58.51,67,0,10.36,clear sky
126,Lasa,46.6166,10.7002,66.36,88,0,1.88,clear sky
127,Auki,-8.7676,160.7034,85.91,62,100,2.86,overcast clouds
128,Strelka,58.0728,93.0344,58.19,91,36,4.92,scattered clouds
129,Kahului,20.8947,-156.47,83.97,54,40,25.32,scattered clouds
130,Vao,-22.6667,167.4833,74.08,89,100,10.13,overcast clouds
131,Mahebourg,-20.4081,57.7,66.49,82,75,12.66,broken clouds
132,Nantucket,41.2835,-70.0995,78.91,94,40,10.36,mist
133,Georgetown,5.4112,100.3354,82.33,88,20,2.3,few clouds
134,East London,-33.0153,27.9116,60.6,85,47,7.83,scattered clouds
135,Deputatskiy,69.3,139.9,44.78,74,96,15.48,overcast clouds
136,Tual,-5.6667,132.75,79.02,76,78,21.59,broken clouds
137,Luderitz,-26.6481,15.1594,55.74,62,0,14.61,clear sky
138,Issoire,45.55,3.25,60.06,87,0,2.64,clear sky
139,Mahmudia,45.0833,29.0833,75.4,45,74,9.78,broken clouds
140,Vila Franca Do Campo,37.7167,-25.4333,70.21,89,50,3.09,scattered clouds
141,Kavaratti,10.5669,72.642,80.64,79,100,19.71,light rain
142,Lavumisa,-27.31,31.892,61.79,88,93,2.71,overcast clouds
143,Olga,43.7444,135.2892,69.15,77,84,3.09,broken clouds
144,Iquitos,-3.7481,-73.2472,77.04,94,75,2.3,broken clouds
145,Jalingo,8.8833,11.3667,72.01,95,100,2.21,overcast clouds
146,Hithadhoo,-0.6,73.0833,79.99,77,98,6.2,overcast clouds
147,Carutapera,-1.195,-46.02,76.06,87,23,5.28,few clouds
148,Champerico,14.3,-91.9167,82.67,77,100,6.69,overcast clouds
149,Erenhot,43.6475,111.9767,82.74,24,4,7.18,clear sky
