City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
172,Poso,ID,75.6,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
173,Korla,CN,77.04,clear sky,41.7597,86.1469,Gulisitan Hotel
175,Lorengau,PG,80.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
177,Gazanjyk,TM,83.44,clear sky,39.2446,55.5154,Railway motel
178,Linhares,BR,72.73,broken clouds,-19.3911,-40.0722,Hotel Conceição
180,Bemidji,US,80.06,broken clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
182,Lucapa,AO,77.2,broken clouds,-8.4192,20.7447,Lírio Mendes
185,Payyannur,IN,77.63,moderate rain,12.1,75.2,Kavvayi Beach House
186,Tirumullaivasal,IN,82.35,broken clouds,11.2333,79.8333,Sundar Surendhar House
191,Taitung,TW,81.66,clear sky,22.7583,121.1444,Taitung Bali Suites Hotel
197,Benghazi,LY,78.71,clear sky,32.1167,20.0667,Tibesti Hotel
200,Broome,US,89.2,overcast clouds,42.2506,-75.833,Chenango Valley State Park
201,Torres,BR,79.83,overcast clouds,-29.3353,-49.7269,Farol Hotel
202,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
204,Harper,LR,75.45,overcast clouds,4.375,-7.7169,Screensaver
207,Marsh Harbour,BS,83.79,clear sky,26.5412,-77.0636,Abaco Beach Resort
208,Matara,LK,77.94,light rain,5.9485,80.5353,Amaloh Boutique Resort
210,Banjar,ID,73.58,overcast clouds,-8.19,114.9675,The Hamsa Resort
217,Katsuura,JP,77.99,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
218,Rurrenabaque,BO,89.49,scattered clouds,-14.4413,-67.5278,Casa de Campo
219,Yantarnyy,RU,74.75,clear sky,54.8717,19.9381,Sshloss Hotel Yantarny
227,Sechura,PE,74.03,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
235,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Pirineos
236,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
238,Kuala Lipis,MY,74.7,overcast clouds,4.1842,102.0468,Lipis Centrepoint Hotel
239,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
247,Canico,PT,74.71,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
250,San Policarpo,PH,81.91,overcast clouds,12.1791,125.5072,Agapita M. Nicart
253,Joroan,PH,79.54,clear sky,13.4885,123.6189,Balikbayan Resort
259,Jaguarari,BR,71.69,broken clouds,-10.2639,-40.1958,Hotel Quintal De Casa
260,Syedove,UA,71.55,broken clouds,47.0768,38.156,Зеленый дворик - 37
264,Kavieng,PG,81.23,light rain,-2.5744,150.7967,Nusa Island Retreat
267,Thunder Bay,CA,82.31,scattered clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
269,Faranah,GN,70.75,light rain,10.0404,-10.7434,Chez mon oncle
270,Kismayo,SO,75.07,light rain,-0.3582,42.5454,Agan-Hotel
271,Sorong,ID,78.04,few clouds,-0.8833,131.25,Waigo Splash Hotel
272,Burdur,TR,70.5,clear sky,37.7203,30.2908,Özeren Grand Hotel & Spa
273,Rock Sound,BS,82.76,few clouds,24.9,-76.2,Pink Corral Bay Property
276,Buala,SB,79.12,light rain,-8.145,159.5921,Maringe Lagoon Lodge
277,Hami,CN,74.53,clear sky,42.8,93.45,Laoyutang Resort
278,Ilebo,CD,74.68,clear sky,-4.3167,20.5833,Hôtel BUMAK
280,Honiara,SB,75.88,few clouds,-9.4333,159.95,Heritage Park Hotel
282,Horta,PT,74.84,few clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
283,Saint Anthony,US,86.76,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
